1,-30650
1,-30650
2,-31252
2,-31146
3,-27964
3,-28438
4,-29970
4,-29984
5,-25920
5,-29862
6,-29804
6,-28492
7,-28876
8,-29660
9,-24706
10,-29776
11,-28534
12,-27620
13,-27344
14,-28714
15,-30222
16,-18792
17,-28794
1,288028
18,-26500
2,107908
19,-28936
3,96184
20,-29092
4,756214
21,-25848
5,-30734
22,-29652
6,38216
23,-31298
7,2256
24,-28182
8,192818
25,-27196
9,-30064
26,-28758
10,70172
27,-31924
11,24838
28,-30416
12,-27864
29,-26990
13,-31308
30,-28456
14,78514
31,-7274
15,-28330
32,-30660
33,-32584
16,583138
