1,-25742
2,-16236
3,-16824
4,-16160
5,-23792
6,-19078
7,-22904
8,-19172
9,-16032
10,-19388
11,-19286
12,-21344
13,-16132
14,-21782
15,-14072
16,-21104
17,-15270
18,-18670
19,-13684
20,-10964
21,-25746
22,-25382
23,-21206
24,-13014
25,-16338
26,-18326
27,-12266
28,-13458
29,-10460
30,-12284
31,-8718
32,-10670
33,-22130
34,4688
35,-11512
36,-18056
37,-2780
