1,-21420
2,-15618
3,-19788
4,-12748
5,-26674
6,-15410
7,-8862
8,-18304
9,-9274
10,-18264
11,-21348
12,-21906
13,-14278
14,-20750
15,-19266
16,-24946
17,-20890
18,-11708
19,-14914
20,-20382
21,-18058
22,-23472
23,-16632
24,-14164
25,-17552
26,-15878
27,-24570
28,-14634
29,-20992
30,-20294
31,-21276
32,-18754
33,-21694
34,-25652
35,-26310
36,-23804
37,-17662
38,-28650
39,-12876
40,-23652
41,-21934
42,-19574
43,-21568
44,-20236
45,-22950
46,-13162
47,-24882
48,-21628
49,-18648
50,-20946
51,-15110
52,-19510
53,-12608
54,-21586
55,-21536
56,-21658
57,-21920
58,-19220
59,-18094
60,-6850
61,-11032
62,-26022
63,-21118
64,-22698
65,-17406
66,-20386
67,-19320
68,-15872
69,-15370
70,-14058
71,-24598
72,-19858
73,-17004
74,-24370
75,-17838
76,-20506
77,-22172
78,-19974
79,-17724
80,-22548
81,-23236
82,-19736
83,-25950
84,-20816
85,-22514
86,-17750
87,-11534
88,-15764
89,-26358
90,-22288
91,-23438
92,-19948
93,-25826
94,-14564
95,-6092
96,-4866
97,-10006
98,-12356
99,-22384
100,-25228
101,-9496
102,-24864
103,-17148
104,-27070
105,-16152
106,-14506
107,-17348
108,-20298
109,-22252
110,-23802
111,-24154
112,-18230
113,-15008
114,-15526
115,-24854
116,-11378
117,-24698
118,-15844
119,-11160
120,-10912
121,-13018
122,-21892
123,-21974
124,-18380
125,-14226
126,-16032
127,-8192
128,-11934
129,-13366
130,-22662
131,-21384
132,-11974
133,-21798
134,-16744
135,-26148
136,-14464
137,-16472
138,-28164
139,-16276
140,-16516
141,-18920
142,-16174
143,-16316
144,-9682
145,-18168
146,-17038
147,-20332
148,-22940
149,-18028
150,-11582
151,-20776
152,-18596
153,-14374
154,-8976
155,-2248
156,-11384
157,-11484
158,-21968
159,-15584
160,-13514
161,-10006
162,-10500
163,-10262
164,-11484
165,-11054
166,-16696
167,-10000
168,-14892
169,-9766
170,-16598
171,-14026
172,-16174
173,-16482
174,-17542
175,-14224
176,-16596
177,-13578
178,-15094
179,-15592
180,-16390
181,-17580
182,-16502
183,-15456
184,-15842
185,-25100
186,-17332
187,-21890
188,-9704
189,-15764
190,-16058
191,-13884
192,-16948
193,-18582
194,-16894
195,-14630
196,-27222
197,-18772
198,-16736
199,-30142
200,-18946
201,-17730
202,-17730
203,-23990
204,-16988
205,-16598
206,-17720
207,-22730
208,-15862
209,-12222
210,-9206
211,-18790
212,-13676
213,-16768
214,-15356
215,-22290
216,-12552
217,-14096
218,-15102
219,-16288
220,-11342
221,-13842
222,-11838
223,-12354
224,-14272
225,-8918
226,-12232
227,-22424
228,-11838
229,-15660
230,-19726
231,-25912
232,-22148
233,-16796
234,-17158
235,-17168
236,-26030
237,-21740
238,-12580
239,-15718
240,-21630
241,-13772
242,-17438
243,-21296
244,-21454
245,-13416
246,-20266
247,-20854
248,-15894
249,-19254
250,-17464
